Time,ProxyName,TxnID,GTid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,uri
5/30/2018 0:03,TaxBreakoutServiceV001,4216842335,4216842335,0,1,0,0,1,0,0,49,50,49,50,50,0,50,0,1,/taxbreakout
5/30/2018 0:08,TaxBreakoutServiceV001,1722928301,1722928301,0,1,0,1,1,0,0,69,69,69,69,69,0,69,1,1,/taxbreakout
5/30/2018 0:09,TaxBreakoutServiceV001,4218576767,4218576767,0,1,0,0,1,0,0,45,45,45,45,45,0,45,0,1,/taxbreakout
5/30/2018 0:09,TaxBreakoutServiceV001,4218704991,4218704991,0,0,0,0,1,0,0,67,67,67,67,67,0,67,0,0,/taxbreakout
5/30/2018 0:11,TaxBreakoutServiceV001,1811923351,1811923351,0,1,0,1,1,0,0,51,52,51,52,52,0,51,1,1,/taxbreakout
5/30/2018 0:12,TaxBreakoutServiceV001,1812142823,1812142823,0,1,0,0,1,0,0,46,46,46,46,47,0,46,0,1,/taxbreakout
5/30/2018 0:14,TaxBreakoutServiceV001,4220143263,4220143263,0,1,0,1,1,0,0,54,54,54,54,54,0,54,1,1,/taxbreakout
5/30/2018 0:22,TaxBreakoutServiceV001,4222385327,4222385327,0,1,0,1,1,0,0,111,112,111,112,112,0,112,1,1,/taxbreakout
5/30/2018 0:23,TaxBreakoutServiceV001,4222505615,4222505615,0,1,0,1,1,0,0,41,41,41,41,41,0,41,1,1,/taxbreakout
5/30/2018 0:23,TaxBreakoutServiceV001,4222505647,4222505647,0,1,0,1,1,1,1,69,69,69,69,69,0,69,1,1,/taxbreakout
5/30/2018 0:23,GetInformationalMessageV001,1725119821,1725119821,0,1,0,0,1,0,0,44,44,44,44,44,0,44,0,1,/getinformationmessage
5/30/2018 0:26,TaxBreakoutServiceV001,4223693247,4223693247,0,0,0,0,0,0,0,51,52,51,52,52,0,52,0,0,/taxbreakout
5/30/2018 0:27,TaxBreakoutServiceV001,2719207221,2719207221,0,1,0,1,1,0,0,53,53,53,53,53,0,53,1,1,/taxbreakout
5/30/2018 0:27,TaxBreakoutServiceV001,1815058471,1815058471,0,1,0,1,1,0,0,49,50,49,50,50,0,49,1,1,/taxbreakout
5/30/2018 0:27,TaxBreakoutServiceV001,4224030591,4224030591,0,1,0,0,1,0,0,51,51,51,51,51,0,51,0,1,/taxbreakout
5/30/2018 0:28,TaxBreakoutServiceV001,1815170839,1815170839,0,1,0,0,1,0,0,65,66,65,66,66,0,66,0,1,/taxbreakout
5/30/2018 0:28,TaxBreakoutServiceV001,1815170823,1815170823,0,2,0,1,2,1,1,79,79,79,79,79,0,79,1,2,/taxbreakout
5/30/2018 0:28,GetInformationalMessageV001,1726129101,1726129101,0,1,0,0,1,0,0,6,6,6,6,6,0,6,0,1,/getinformationmessage
5/30/2018 0:29,TaxBreakoutServiceV001,1410334929,1410334929,0,1,0,1,1,1,1,48,49,48,49,49,0,48,1,1,/taxbreakout
5/30/2018 0:29,TaxBreakoutServiceV001,4224679663,4224679663,0,1,0,1,1,0,0,49,49,49,49,49,0,49,1,1,/taxbreakout
5/30/2018 0:29,TaxBreakoutServiceV001,4224717967,4224717967,0,1,0,1,1,1,1,69,70,69,70,70,0,69,1,1,/taxbreakout
5/30/2018 0:30,TaxBreakoutServiceV001,4224770111,4224770111,0,1,0,1,1,1,1,54,54,54,54,54,0,54,1,1,/taxbreakout
